"fips","state","county","lat","lng","month.index","type","cases"
5037,"AR","cross county",35.2957,-90.7711,12,"wild bird",2
5041,"AR","desha county",33.8309,-91.2551,12,"wild bird",3
5053,"AR","grant county",34.29,-92.4236,12,"wild bird",1
5053,"AR","grant county",34.29,-92.4236,13,"wild bird",1
5055,"AR","greene county",36.1176,-90.559,12,"wild bird",1
5055,"AR","greene county",36.1176,-90.559,13,"wild bird",4
5067,"AR","jackson county",35.5992,-91.2145,12,"wild bird",1
5069,"AR","jefferson county",34.2683,-91.9304,11,"wild bird",1
5071,"AR","johnson county",35.5697,-93.4601,12,"wild bird",2
5075,"AR","lawrence county",36.0412,-91.107,12,"wild bird",1
5085,"AR","lonoke county",34.7543,-91.8888,12,"wild bird",5
5085,"AR","lonoke county",34.7543,-91.8888,13,"wild bird",2
5087,"AR","madison county",36.011,-93.7246,10,"poultry",56000
5095,"AR","monroe county",34.6778,-91.2039,12,"wild bird",1
5105,"AR","perry county",34.9476,-92.9312,13,"wild bird",1
5111,"AR","poinsett county",35.574,-90.663,12,"wild bird",3
5115,"AR","pope county",35.4478,-93.0345,10,"non-poultry",470
5115,"AR","pope county",35.4478,-93.0345,12,"wild bird",1
5117,"AR","prairie county",34.8298,-91.5528,12,"wild bird",3
5119,"AR","pulaski county",34.77,-92.312,10,"wild bird",1
5119,"AR","pulaski county",34.77,-92.312,12,"wild bird",1
5125,"AR","saline county",34.6467,-92.6766,12,"wild bird",1
5139,"AR","union county",33.1713,-92.5972,13,"wild bird",1
5145,"AR","white county",35.2563,-91.7456,13,"wild bird",1
4012,"AZ","la paz county",33.7294,-113.9815,13,"wild bird",1
4013,"AZ","maricopa county",33.349,-112.4915,10,"wild bird",4
4013,"AZ","maricopa county",33.349,-112.4915,11,"captive wild bird",2
4013,"AZ","maricopa county",33.349,-112.4915,11,"wild bird",1
4013,"AZ","maricopa county",33.349,-112.4915,12,"captive wild bird",5
4013,"AZ","maricopa county",33.349,-112.4915,6,"wild bird",3
4015,"AZ","mohave county",35.7041,-113.7579,12,"wild bird",1
4025,"AZ","yavapai county",34.5998,-112.5537,11,"non-poultry",80
6001,"CA","alameda county",37.6469,-121.8888,10,"wild bird",2
6001,"CA","alameda county",37.6469,-121.8888,12,"wild bird",2
6001,"CA","alameda county",37.6469,-121.8888,13,"wild bird",1
6001,"CA","alameda county",37.6469,-121.8888,9,"wild bird",7
6005,"CA","amador county",38.4464,-120.6511,12,"captive wild bird",2
6007,"CA","butte county",39.6669,-121.6007,11,"wild bird",3
6007,"CA","butte county",39.6669,-121.6007,12,"non-poultry",20
6007,"CA","butte county",39.6669,-121.6007,12,"wild bird",4
6007,"CA","butte county",39.6669,-121.6007,13,"wild bird",1
6007,"CA","butte county",39.6669,-121.6007,8,"non-poultry",1100
6007,"CA","butte county",39.6669,-121.6007,8,"wild bird",2
6009,"CA","calaveras county",38.2046,-120.5541,10,"non-poultry",20
6011,"CA","colusa county",39.1775,-122.237,12,"wild bird",1
6011,"CA","colusa county",39.1775,-122.237,13,"wild bird",1
6011,"CA","colusa county",39.1775,-122.237,7,"wild bird",3
6011,"CA","colusa county",39.1775,-122.237,8,"wild bird",1
6013,"CA","contra costa county",37.9191,-121.9277,11,"wild bird",2
6013,"CA","contra costa county",37.9191,-121.9277,12,"wild bird",1
6013,"CA","contra costa county",37.9191,-121.9277,13,"wild bird",3
6013,"CA","contra costa county",37.9191,-121.9277,8,"non-poultry",60
6015,"CA","del norte county",41.7431,-123.8972,10,"poultry",43000
6015,"CA","del norte county",41.7431,-123.8972,12,"wild bird",1
6017,"CA","el dorado county",38.7787,-120.5247,10,"wild bird",1
6017,"CA","el dorado county",38.7787,-120.5247,13,"non-poultry",20
6017,"CA","el dorado county",38.7787,-120.5247,13,"wild bird",2
6017,"CA","el dorado county",38.7787,-120.5247,9,"non-poultry",150
6017,"CA","el dorado county",38.7787,-120.5247,9,"wild bird",2
6019,"CA","fresno county",36.7582,-119.6493,10,"captive wild bird",4
6019,"CA","fresno county",36.7582,-119.6493,11,"captive wild bird",2
6019,"CA","fresno county",36.7582,-119.6493,11,"poultry",34700
6019,"CA","fresno county",36.7582,-119.6493,11,"wild bird",8
6019,"CA","fresno county",36.7582,-119.6493,12,"wild bird",1
6019,"CA","fresno county",36.7582,-119.6493,13,"wild bird",1
6019,"CA","fresno county",36.7582,-119.6493,8,"poultry",68700
6019,"CA","fresno county",36.7582,-119.6493,9,"non-poultry",100
6019,"CA","fresno county",36.7582,-119.6493,9,"poultry",62700
6019,"CA","fresno county",36.7582,-119.6493,9,"wild bird",1
6021,"CA","glenn county",39.5983,-122.3921,11,"wild bird",1
6021,"CA","glenn county",39.5983,-122.3921,12,"poultry",32000
6021,"CA","glenn county",39.5983,-122.3921,12,"wild bird",5
6021,"CA","glenn county",39.5983,-122.3921,13,"wild bird",4
6021,"CA","glenn county",39.5983,-122.3921,7,"wild bird",4
6023,"CA","humboldt county",40.6993,-123.8756,11,"wild bird",3
6023,"CA","humboldt county",40.6993,-123.8756,12,"wild bird",3
6023,"CA","humboldt county",40.6993,-123.8756,13,"wild bird",1
6025,"CA","imperial county",33.0395,-115.3653,13,"wild bird",5
6029,"CA","kern county",35.3426,-118.7301,11,"wild bird",1
6029,"CA","kern county",35.3426,-118.7301,12,"wild bird",2
6035,"CA","lassen county",40.6736,-120.5943,10,"wild bird",2
6035,"CA","lassen county",40.6736,-120.5943,13,"wild bird",4
6037,"CA","los angeles county",34.3209,-118.2247,10,"captive wild bird",2
6037,"CA","los angeles county",34.3209,-118.2247,10,"wild bird",11
6037,"CA","los angeles county",34.3209,-118.2247,11,"wild bird",9
6037,"CA","los angeles county",34.3209,-118.2247,12,"wild bird",5
6037,"CA","los angeles county",34.3209,-118.2247,13,"wild bird",2
6041,"CA","marin county",38.0735,-122.7235,10,"wild bird",1
6041,"CA","marin county",38.0735,-122.7235,12,"wild bird",2
6041,"CA","marin county",38.0735,-122.7235,13,"wild bird",3
6045,"CA","mendocino county",39.4402,-123.3915,12,"non-poultry",20
6045,"CA","mendocino county",39.4402,-123.3915,13,"wild bird",3
6045,"CA","mendocino county",39.4402,-123.3915,8,"wild bird",1
6047,"CA","merced county",37.1919,-120.7177,11,"wild bird",3
6047,"CA","merced county",37.1919,-120.7177,12,"wild bird",1
6047,"CA","merced county",37.1919,-120.7177,13,"wild bird",7
6053,"CA","monterey county",36.2171,-121.2388,10,"poultry",15100
6053,"CA","monterey county",36.2171,-121.2388,10,"wild bird",2
6053,"CA","monterey county",36.2171,-121.2388,12,"wild bird",2
6053,"CA","monterey county",36.2171,-121.2388,9,"wild bird",4
6055,"CA","napa county",38.5065,-122.3305,10,"captive wild bird",1
6055,"CA","napa county",38.5065,-122.3305,10,"wild bird",1
6055,"CA","napa county",38.5065,-122.3305,11,"wild bird",1
6055,"CA","napa county",38.5065,-122.3305,13,"wild bird",1
6055,"CA","napa county",38.5065,-122.3305,8,"wild bird",1
6055,"CA","napa county",38.5065,-122.3305,9,"wild bird",1
6059,"CA","orange county",33.7031,-117.7609,10,"wild bird",10
6061,"CA","placer county",39.0634,-120.7177,13,"wild bird",2
6061,"CA","placer county",39.0634,-120.7177,8,"wild bird",1
6063,"CA","plumas county",40.0047,-120.8386,8,"wild bird",1
6065,"CA","riverside county",33.7437,-115.9938,10,"wild bird",3
6065,"CA","riverside county",33.7437,-115.9938,11,"wild bird",1
6067,"CA","sacramento county",38.4493,-121.3443,11,"wild bird",1
6067,"CA","sacramento county",38.4493,-121.3443,12,"wild bird",1
6067,"CA","sacramento county",38.4493,-121.3443,7,"wild bird",1
6067,"CA","sacramento county",38.4493,-121.3443,8,"non-poultry",40
6067,"CA","sacramento county",38.4493,-121.3443,8,"poultry",97000
6067,"CA","sacramento county",38.4493,-121.3443,8,"wild bird",3
6067,"CA","sacramento county",38.4493,-121.3443,9,"non-poultry",20
6067,"CA","sacramento county",38.4493,-121.3443,9,"wild bird",1
6069,"CA","san benito county",36.6057,-121.075,10,"wild bird",1
6071,"CA","san bernardino county",34.8414,-116.1785,11,"wild bird",2
6073,"CA","san diego county",33.0343,-116.735,10,"captive wild bird",1
6073,"CA","san diego county",33.0343,-116.735,10,"wild bird",2
6073,"CA","san diego county",33.0343,-116.735,11,"captive wild bird",10
6073,"CA","san diego county",33.0343,-116.735,11,"poultry",150
6073,"CA","san diego county",33.0343,-116.735,11,"wild bird",2
6073,"CA","san diego county",33.0343,-116.735,12,"captive wild bird",6
6073,"CA","san diego county",33.0343,-116.735,12,"wild bird",1
6073,"CA","san diego county",33.0343,-116.735,13,"wild bird",2
6075,"CA","san francisco county",37.7558,-122.4449,11,"wild bird",1
6075,"CA","san francisco county",37.7558,-122.4449,12,"wild bird",2
6075,"CA","san francisco county",37.7558,-122.4449,13,"wild bird",1
6075,"CA","san francisco county",37.7558,-122.4449,9,"wild bird",4
6077,"CA","san joaquin county",37.9348,-121.2714,13,"non-poultry",10
6077,"CA","san joaquin county",37.9348,-121.2714,13,"wild bird",7
6079,"CA","san luis obispo county",35.3871,-120.4044,10,"wild bird",2
6079,"CA","san luis obispo county",35.3871,-120.4044,12,"wild bird",7
6081,"CA","san mateo county",37.4229,-122.329,11,"captive wild bird",1
6081,"CA","san mateo county",37.4229,-122.329,12,"captive wild bird",1
6081,"CA","san mateo county",37.4229,-122.329,12,"wild bird",5
6081,"CA","san mateo county",37.4229,-122.329,13,"wild bird",4
6081,"CA","san mateo county",37.4229,-122.329,9,"wild bird",3
6085,"CA","santa clara county",37.2318,-121.6951,10,"wild bird",3
6085,"CA","santa clara county",37.2318,-121.6951,12,"wild bird",2
6085,"CA","santa clara county",37.2318,-121.6951,8,"wild bird",3
6085,"CA","santa clara county",37.2318,-121.6951,9,"wild bird",11
6087,"CA","santa cruz county",37.0562,-122.0018,10,"wild bird",2
6087,"CA","santa cruz county",37.0562,-122.0018,9,"wild bird",2
6089,"CA","shasta county",40.7637,-122.0405,11,"wild bird",1
6089,"CA","shasta county",40.7637,-122.0405,13,"wild bird",1
6093,"CA","siskiyou county",41.5927,-122.5404,11,"wild bird",2
6093,"CA","siskiyou county",41.5927,-122.5404,12,"wild bird",1
6093,"CA","siskiyou county",41.5927,-122.5404,8,"wild bird",1
6095,"CA","solano county",38.27,-121.9329,10,"captive wild bird",1
6095,"CA","solano county",38.27,-121.9329,13,"wild bird",9
6095,"CA","solano county",38.27,-121.9329,7,"wild bird",3
6095,"CA","solano county",38.27,-121.9329,8,"captive wild bird",1
6097,"CA","sonoma county",38.5289,-122.8881,13,"non-poultry",26
6097,"CA","sonoma county",38.5289,-122.8881,13,"wild bird",3
6097,"CA","sonoma county",38.5289,-122.8881,7,"wild bird",5
6097,"CA","sonoma county",38.5289,-122.8881,8,"wild bird",3
6099,"CA","stanislaus county",37.5591,-120.9977,10,"poultry",105900
6099,"CA","stanislaus county",37.5591,-120.9977,8,"wild bird",4
6101,"CA","sutter county",39.0346,-121.6948,12,"wild bird",2
6101,"CA","sutter county",39.0346,-121.6948,13,"wild bird",1
6103,"CA","tehama county",40.1257,-122.234,13,"poultry",23700
6105,"CA","trinity county",40.6507,-123.1126,9,"wild bird",1
6109,"CA","tuolumne county",38.0276,-119.9548,8,"poultry",260100
6109,"CA","tuolumne county",38.0276,-119.9548,9,"poultry",30800
6111,"CA","ventura county",34.4561,-119.0836,10,"wild bird",1
6111,"CA","ventura county",34.4561,-119.0836,11,"wild bird",2
6111,"CA","ventura county",34.4561,-119.0836,12,"wild bird",1
6111,"CA","ventura county",34.4561,-119.0836,13,"wild bird",3
6113,"CA","yolo county",38.6866,-121.9016,11,"wild bird",2
6113,"CA","yolo county",38.6866,-121.9016,13,"wild bird",7
6113,"CA","yolo county",38.6866,-121.9016,8,"wild bird",1
6115,"CA","yuba county",39.269,-121.3513,12,"wild bird",4
8001,"CO","adams county",39.8737,-104.3379,10,"wild bird",1
8001,"CO","adams county",39.8737,-104.3379,12,"wild bird",3
8001,"CO","adams county",39.8737,-104.3379,4,"wild bird",1
8005,"CO","arapahoe county",39.6498,-104.3392,13,"wild bird",1
8009,"CO","baca county",37.3192,-102.5604,12,"wild bird",1
8013,"CO","boulder county",40.0925,-105.3577,10,"captive wild bird",4
8013,"CO","boulder county",40.0925,-105.3577,10,"poultry",600
8013,"CO","boulder county",40.0925,-105.3577,11,"captive wild bird",2
8013,"CO","boulder county",40.0925,-105.3577,12,"captive wild bird",14
8013,"CO","boulder county",40.0925,-105.3577,12,"wild bird",1
8013,"CO","boulder county",40.0925,-105.3577,13,"captive wild bird",2
8013,"CO","boulder county",40.0925,-105.3577,13,"wild bird",1
8013,"CO","boulder county",40.0925,-105.3577,9,"captive wild bird",4
8014,"CO","broomfield county",39.9542,-105.0526,12,"wild bird",1
8031,"CO","denver county",39.762,-104.8758,10,"captive wild bird",10
8031,"CO","denver county",39.762,-104.8758,11,"captive wild bird",1
8031,"CO","denver county",39.762,-104.8758,12,"wild bird",2
8031,"CO","denver county",39.762,-104.8758,13,"wild bird",4
8031,"CO","denver county",39.762,-104.8758,4,"wild bird",5
8031,"CO","denver county",39.762,-104.8758,5,"wild bird",1
8035,"CO","douglas county",39.3297,-104.9296,10,"captive wild bird",2
8035,"CO","douglas county",39.3297,-104.9296,12,"captive wild bird",2
8035,"CO","douglas county",39.3297,-104.9296,12,"wild bird",1
8035,"CO","douglas county",39.3297,-104.9296,13,"captive wild bird",3
8041,"CO","el paso county",38.8321,-104.5255,10,"wild bird",1
8041,"CO","el paso county",38.8321,-104.5255,13,"wild bird",1
8041,"CO","el paso county",38.8321,-104.5255,4,"wild bird",6
8049,"CO","grand county",40.1026,-106.1183,5,"wild bird",2
8057,"CO","jackson county",40.6664,-106.3428,5,"wild bird",2
8059,"CO","jefferson county",39.5864,-105.2505,10,"poultry",50
8059,"CO","jefferson county",39.5864,-105.2505,12,"wild bird",1
8059,"CO","jefferson county",39.5864,-105.2505,13,"wild bird",1
8059,"CO","jefferson county",39.5864,-105.2505,5,"non-poultry",10
8059,"CO","jefferson county",39.5864,-105.2505,5,"wild bird",1
8067,"CO","la plata county",37.2866,-107.8433,10,"non-poultry",60
8067,"CO","la plata county",37.2866,-107.8433,10,"wild bird",1
8067,"CO","la plata county",37.2866,-107.8433,4,"poultry",40
8069,"CO","larimer county",40.6664,-105.4612,10,"captive wild bird",2
8069,"CO","larimer county",40.6664,-105.4612,10,"non-poultry",20
8069,"CO","larimer county",40.6664,-105.4612,10,"wild bird",5
8069,"CO","larimer county",40.6664,-105.4612,11,"captive wild bird",4
8069,"CO","larimer county",40.6664,-105.4612,11,"wild bird",1
8069,"CO","larimer county",40.6664,-105.4612,12,"captive wild bird",19
8069,"CO","larimer county",40.6664,-105.4612,12,"non-poultry",2
8069,"CO","larimer county",40.6664,-105.4612,13,"captive wild bird",4
8069,"CO","larimer county",40.6664,-105.4612,13,"non-poultry",70
8069,"CO","larimer county",40.6664,-105.4612,13,"wild bird",2
8069,"CO","larimer county",40.6664,-105.4612,4,"captive wild bird",1
8069,"CO","larimer county",40.6664,-105.4612,5,"captive wild bird",2
8069,"CO","larimer county",40.6664,-105.4612,9,"wild bird",1
8075,"CO","logan county",40.7247,-103.1101,13,"wild bird",1
8077,"CO","mesa county",39.0183,-108.4665,13,"wild bird",2
8077,"CO","mesa county",39.0183,-108.4665,5,"wild bird",2
8077,"CO","mesa county",39.0183,-108.4665,8,"wild bird",1
8077,"CO","mesa county",39.0183,-108.4665,9,"non-poultry",40
8083,"CO","montezuma county",37.3386,-108.5966,6,"wild bird",1
8085,"CO","montrose county",38.4022,-108.2694,13,"wild bird",1
8085,"CO","montrose county",38.4022,-108.2694,4,"poultry",58000
8087,"CO","morgan county",40.2628,-103.8098,11,"wild bird",1
8087,"CO","morgan county",40.2628,-103.8098,12,"wild bird",3
8087,"CO","morgan county",40.2628,-103.8098,4,"wild bird",2
8089,"CO","otero county",37.9026,-103.7164,12,"wild bird",1
8097,"CO","pitkin county",39.2171,-106.9166,4,"poultry",30
8099,"CO","prowers county",37.9552,-102.3934,12,"poultry",11000
8099,"CO","prowers county",37.9552,-102.3934,12,"wild bird",5
8101,"CO","pueblo county",38.1735,-104.5127,12,"wild bird",1
8101,"CO","pueblo county",38.1735,-104.5127,13,"wild bird",2
8105,"CO","rio grande county",37.5825,-106.3832,12,"wild bird",1
8107,"CO","routt county",40.4851,-106.9912,4,"wild bird",1
8109,"CO","saguache county",38.0806,-106.2815,12,"wild bird",1
8109,"CO","saguache county",38.0806,-106.2815,13,"wild bird",1
8115,"CO","sedgwick county",40.8759,-102.3518,11,"wild bird",1
8115,"CO","sedgwick county",40.8759,-102.3518,3,"wild bird",6
8123,"CO","weld county",40.5548,-104.3925,10,"non-poultry",40
8123,"CO","weld county",40.5548,-104.3925,12,"poultry",1530700
8123,"CO","weld county",40.5548,-104.3925,12,"wild bird",2
8123,"CO","weld county",40.5548,-104.3925,13,"non-poultry",40
8123,"CO","weld county",40.5548,-104.3925,4,"poultry",1366200
8123,"CO","weld county",40.5548,-104.3925,6,"poultry",2141800
8123,"CO","weld county",40.5548,-104.3925,9,"poultry",1150000
8125,"CO","yuma county",40.0029,-102.4243,13,"wild bird",2
9003,"CT","hartford county",41.8064,-72.7329,10,"wild bird",3
9003,"CT","hartford county",41.8064,-72.7329,12,"wild bird",2
9007,"CT","middlesex county",41.4632,-72.5351,10,"wild bird",2
9007,"CT","middlesex county",41.4632,-72.5351,2,"wild bird",20
9007,"CT","middlesex county",41.4632,-72.5351,5,"captive wild bird",1
9009,"CT","new haven county",41.4106,-72.9321,10,"non-poultry",50
9009,"CT","new haven county",41.4106,-72.9321,10,"wild bird",1
9009,"CT","new haven county",41.4106,-72.9321,2,"wild bird",9
9009,"CT","new haven county",41.4106,-72.9321,3,"captive wild bird",1
9011,"CT","new london county",41.4867,-72.1014,10,"wild bird",1
9011,"CT","new london county",41.4867,-72.1014,2,"wild bird",1
9011,"CT","new london county",41.4867,-72.1014,3,"non-poultry",160
9011,"CT","new london county",41.4867,-72.1014,3,"wild bird",2
9013,"CT","tolland county",41.855,-72.3365,10,"wild bird",1
11001,"DC","district of columbia",38.9047,-77.0163,6,"wild bird",2
10001,"DE","kent county",39.086,-75.5686,13,"wild bird",1
10001,"DE","kent county",39.086,-75.5686,2,"captive wild bird",1
10001,"DE","kent county",39.086,-75.5686,2,"wild bird",9
10001,"DE","kent county",39.086,-75.5686,3,"poultry",147800
10001,"DE","kent county",39.086,-75.5686,9,"captive wild bird",1
10001,"DE","kent county",39.086,-75.5686,9,"non-poultry",40
10003,"DE","new castle county",39.5768,-75.6527,2,"poultry",1046900
10003,"DE","new castle county",39.5768,-75.6527,3,"poultry",243900
12001,"FL","alachua county",29.6748,-82.3577,13,"wild bird",1
12001,"FL","alachua county",29.6748,-82.3577,4,"wild bird",2
12001,"FL","alachua county",29.6748,-82.3577,5,"wild bird",2
12001,"FL","alachua county",29.6748,-82.3577,7,"wild bird",1
12001,"FL","alachua county",29.6748,-82.3577,9,"wild bird",2
12009,"FL","brevard county",28.2936,-80.7323,10,"wild bird",16
12009,"FL","brevard county",28.2936,-80.7323,11,"wild bird",9
12009,"FL","brevard county",28.2936,-80.7323,12,"wild bird",8
12009,"FL","brevard county",28.2936,-80.7323,2,"captive wild bird",1
12009,"FL","brevard county",28.2936,-80.7323,2,"wild bird",8
12009,"FL","brevard county",28.2936,-80.7323,3,"captive wild bird",2
12009,"FL","brevard county",28.2936,-80.7323,3,"wild bird",27
12009,"FL","brevard county",28.2936,-80.7323,4,"captive wild bird",1
12009,"FL","brevard county",28.2936,-80.7323,4,"wild bird",9
12009,"FL","brevard county",28.2936,-80.7323,5,"wild bird",7
12009,"FL","brevard county",28.2936,-80.7323,6,"wild bird",7
12009,"FL","brevard county",28.2936,-80.7323,7,"wild bird",35
12009,"FL","brevard county",28.2936,-80.7323,8,"wild bird",29
12009,"FL","brevard county",28.2936,-80.7323,9,"wild bird",10
12011,"FL","broward county",26.1523,-80.4871,10,"non-poultry",40
12011,"FL","broward county",26.1523,-80.4871,10,"poultry",300
12011,"FL","broward county",26.1523,-80.4871,11,"non-poultry",100
12011,"FL","broward county",26.1523,-80.4871,11,"wild bird",4
12011,"FL","broward county",26.1523,-80.4871,12,"captive wild bird",3
12011,"FL","broward county",26.1523,-80.4871,7,"wild bird",1
12015,"FL","charlotte county",26.9055,-81.9123,12,"wild bird",2
12015,"FL","charlotte county",26.9055,-81.9123,3,"captive wild bird",1
12015,"FL","charlotte county",26.9055,-81.9123,3,"wild bird",1
12017,"FL","citrus county",28.8489,-82.4794,4,"wild bird",5
12019,"FL","clay county",29.9831,-81.8579,4,"wild bird",4
12021,"FL","collier county",26.1107,-81.3475,4,"wild bird",2
12021,"FL","collier county",26.1107,-81.3475,5,"wild bird",1
12023,"FL","columbia county",30.2242,-82.6215,5,"wild bird",2
12029,"FL","dixie county",29.6082,-83.1588,3,"wild bird",3
12029,"FL","dixie county",29.6082,-83.1588,4,"wild bird",3
12031,"FL","duval county",30.3316,-81.6708,11,"non-poultry",30
12031,"FL","duval county",30.3316,-81.6708,11,"wild bird",4
12031,"FL","duval county",30.3316,-81.6708,12,"captive wild bird",2
12031,"FL","duval county",30.3316,-81.6708,12,"non-poultry",10
12031,"FL","duval county",30.3316,-81.6708,13,"captive wild bird",1
12031,"FL","duval county",30.3316,-81.6708,3,"wild bird",3
12031,"FL","duval county",30.3316,-81.6708,4,"wild bird",10
12031,"FL","duval county",30.3316,-81.6708,5,"wild bird",2
12035,"FL","flagler county",29.4614,-81.3136,9,"wild bird",2
12057,"FL","hillsborough county",27.9292,-82.3092,10,"non-poultry",40
12057,"FL","hillsborough county",27.9292,-82.3092,11,"non-poultry",100
12057,"FL","hillsborough county",27.9292,-82.3092,4,"wild bird",3
12057,"FL","hillsborough county",27.9292,-82.3092,5,"wild bird",1
12061,"FL","indian river county",27.6943,-80.6062,10,"captive wild bird",1
12061,"FL","indian river county",27.6943,-80.6062,10,"non-poultry",390
12061,"FL","indian river county",27.6943,-80.6062,10,"poultry",50
12063,"FL","jackson county",30.7954,-85.2155,11,"wild bird",2
12069,"FL","lake county",28.7615,-81.7113,10,"non-poultry",9
12071,"FL","lee county",26.5779,-81.8337,9,"wild bird",1
12073,"FL","leon county",30.458,-84.2779,11,"wild bird",3
12073,"FL","leon county",30.458,-84.2779,3,"captive wild bird",1
12075,"FL","levy county",29.3184,-82.7436,12,"wild bird",1
12079,"FL","madison county",30.4441,-83.4701,10,"wild bird",1
