fips,state,county,lat,lng,month.index,type,avg.temp,cases,binary.case
27067,MN,kandiyohi county,45.1524,-95.0047,5,poultry,57.8,4700,infected
27073,MN,lac qui parle county,44.9955,-96.1735,3,poultry,29.9,22500,infected
27079,MN,le sueur county,44.3714,-93.7301,4,poultry,39.4,57400,infected
27079,MN,le sueur county,44.3714,-93.7301,10,poultry,49.3,20100,infected
27083,MN,lyon county,44.4135,-95.839,5,poultry,57.6,120300,infected
27093,MN,meeker county,45.1231,-94.5273,3,poultry,28.6,287500,infected
27093,MN,meeker county,45.1231,-94.5273,4,poultry,37.2,254700,infected
27093,MN,meeker county,45.1231,-94.5273,8,poultry,68.2,178400,infected
27093,MN,meeker county,45.1231,-94.5273,9,poultry,62.1,95600,infected
27097,MN,morrison county,46.0126,-94.2684,3,poultry,26.8,52600,infected
27097,MN,morrison county,46.0126,-94.2684,4,poultry,36.7,624900,infected
27097,MN,morrison county,46.0126,-94.2684,9,poultry,61.4,50200,infected
27111,MN,otter tail county,46.4088,-95.708,4,poultry,35,122600,infected
27111,MN,otter tail county,46.4088,-95.708,9,poultry,61.4,13800,infected
27111,MN,otter tail county,46.4088,-95.708,11,poultry,28.8,28200,infected
27129,MN,renville county,44.7268,-94.9471,4,poultry,38.8,76400,infected
27135,MN,roseau county,48.7751,-95.8108,9,poultry,57.8,116000,infected
27145,MN,stearns county,45.5521,-94.613,3,poultry,28,23500,infected
27145,MN,stearns county,45.5521,-94.613,4,poultry,37.6,253500,infected
27145,MN,stearns county,45.5521,-94.613,9,poultry,61.9,134000,infected
27145,MN,stearns county,45.5521,-94.613,10,poultry,48.6,75000,infected
27145,MN,stearns county,45.5521,-94.613,11,poultry,30.9,8500,infected
27151,MN,swift county,45.2827,-95.6815,4,poultry,37.6,289900,infected
27151,MN,swift county,45.2827,-95.6815,10,poultry,49.4,79400,infected
27153,MN,todd county,46.0706,-94.8976,4,poultry,35.9,117100,infected
27153,MN,todd county,46.0706,-94.8976,11,poultry,30.6,44500,infected
27159,MN,wadena county,46.5857,-94.9694,12,poultry,12.5,298100,infected
27161,MN,waseca county,44.0221,-93.5873,4,poultry,39.1,63700,infected
27173,MN,yellow medicine county,44.7163,-95.8684,4,poultry,38.1,94300,infected
28077,MS,lawrence county,31.5502,-90.107,11,poultry,56.5,34400,infected
29057,MO,dade county,37.432,-93.8503,4,poultry,55.2,14000,infected
29097,MO,jasper county,37.2035,-94.3406,3,poultry,48.2,25000,infected
29097,MO,jasper county,37.2035,-94.3406,4,poultry,56.3,35300,infected
29109,MO,lawrence county,37.1064,-93.8329,3,poultry,47.7,37800,infected
29109,MO,lawrence county,37.1064,-93.8329,4,poultry,54.5,27600,infected
29151,MO,osage county,38.4604,-91.8618,12,poultry,34.6,19700,infected
29207,MO,stoddard county,36.8556,-89.9443,3,poultry,49.8,294800,infected
29225,MO,webster county,37.2809,-92.8759,11,poultry,44.6,24200,infected
30013,MT,cascade county,47.308,-111.347,4,poultry,35,22000,infected
30035,MT,glacier county,48.7051,-112.9948,4,poultry,32.9,54200,infected
30039,MT,granite county,46.4045,-113.4404,11,poultry,21.5,40,infected
30099,MT,teton county,47.8372,-112.2406,9,poultry,58.6,2800,infected
31023,NE,butler county,41.2261,-97.1318,3,poultry,38.7,988500,infected
31051,NE,dixon county,42.4931,-96.8677,4,poultry,45,1746900,infected
31051,NE,dixon county,42.4931,-96.8677,11,poultry,33.8,1700000,infected
31107,NE,knox county,42.6368,-97.8919,4,poultry,45.5,2118000,infected
31107,NE,knox county,42.6368,-97.8919,12,poultry,19.4,160,infected
31185,NE,york county,40.8727,-97.5971,10,poultry,54.6,174400,infected
32023,NV,nye county,38.0424,-116.472,10,poultry,55.6,1600,infected
33013,NH,merrimack county,43.2975,-71.6802,9,poultry,59.7,250,infected
34025,NJ,monmouth county,40.2603,-74.2213,5,poultry,63.1,60,infected
36055,NY,monroe county,43.1464,-77.6961,3,poultry,36.5,400,infected
36073,NY,orleans county,43.2521,-78.2312,4,poultry,44.9,30,infected
36081,NY,queens county,40.7023,-73.8203,11,poultry,50,170,infected
36103,NY,suffolk county,40.8686,-72.8448,3,poultry,41.6,8790,infected
37101,NC,johnston county,35.5178,-78.3657,3,poultry,54.6,32100,infected
37101,NC,johnston county,35.5178,-78.3657,4,poultry,60.8,28400,infected
37191,NC,wayne county,35.364,-78.004,4,poultry,60.9,420900,infected
38003,ND,barnes county,46.9361,-98.0715,4,poultry,35,90,infected
38009,ND,bottineau county,48.7922,-100.8333,11,poultry,22.1,130,infected
38021,ND,dickey county,46.1102,-98.5047,3,poultry,27.6,30,infected
38021,ND,dickey county,46.1102,-98.5047,4,poultry,35.2,60700,infected
38043,ND,kidder county,46.9801,-99.7801,3,poultry,26.5,30,infected
38045,ND,lamoure county,46.4569,-98.5355,4,poultry,35,78300,infected
38049,ND,mchenry county,48.2346,-100.6363,6,poultry,64.9,30,infected
38073,ND,ransom county,46.4562,-97.6574,9,poultry,61.2,69100,infected
38077,ND,richland county,46.2646,-96.9483,4,poultry,36.6,27520,infected
38093,ND,stutsman county,46.9793,-98.9588,4,poultry,33.8,60,infected
38101,ND,ward county,48.2217,-101.5418,9,poultry,60.9,60,infected
38101,ND,ward county,48.2217,-101.5418,11,poultry,22.9,20,infected
39017,OH,butler county,39.4386,-84.5756,11,poultry,44.2,150,infected
39039,OH,defiance county,41.3239,-84.4905,9,poultry,65.7,3748500,infected
40135,OK,sequoyah county,35.4953,-94.7552,4,poultry,60.2,13800,infected
41017,OR,deschutes county,43.915,-121.2282,7,poultry,67,320,infected
41039,OR,lane county,43.9387,-122.8479,5,poultry,48.6,450,infected
41071,OR,yamhill county,45.2327,-123.3081,11,poultry,41.4,150,infected
42001,PA,adams county,39.8715,-77.2179,10,poultry,51.8,17900,infected
42011,PA,berks county,40.4163,-75.926,5,poultry,63.1,339600,infected
42011,PA,berks county,40.4163,-75.926,6,poultry,69.3,30100,infected
42071,PA,lancaster county,40.0424,-76.2477,4,poultry,50.2,3782700,infected
42071,PA,lancaster county,40.0424,-76.2477,5,poultry,63.8,72300,infected
42077,PA,lehigh county,40.6127,-75.5924,11,poultry,45.1,86560,infected
42095,PA,northampton county,40.7542,-75.3076,8,poultry,75,90,infected
42125,PA,washington county,40.1894,-80.2483,9,poultry,63.8,1800,infected
42133,PA,york county,39.92,-76.7265,9,poultry,66.4,25900,infected
46005,SD,beadle county,44.4145,-98.2781,3,poultry,31.9,79300,infected
46005,SD,beadle county,44.4145,-98.2781,4,poultry,40.7,55600,infected
46005,SD,beadle county,44.4145,-98.2781,5,poultry,57.3,56200,infected
46005,SD,beadle county,44.4145,-98.2781,10,poultry,49.3,71400,infected
46005,SD,beadle county,44.4145,-98.2781,11,poultry,29.4,147800,infected
46009,SD,bon homme county,42.9885,-97.8846,3,poultry,36,48200,infected
46015,SD,brule county,43.7181,-99.0809,3,poultry,35.2,55100,infected
46015,SD,brule county,43.7181,-99.0809,10,poultry,51.2,500,infected
46023,SD,charles mix county,43.2079,-98.5879,3,poultry,36.3,135400,infected
46023,SD,charles mix county,43.2079,-98.5879,4,poultry,44.9,81500,infected
46023,SD,charles mix county,43.2079,-98.5879,11,poultry,33.1,75100,infected
46023,SD,charles mix county,43.2079,-98.5879,12,poultry,18.3,34100,infected
46025,SD,clark county,44.8583,-97.7295,3,poultry,29.4,43100,infected
46025,SD,clark county,44.8583,-97.7295,4,poultry,37.1,62700,infected
46025,SD,clark county,44.8583,-97.7295,9,poultry,63.6,65600,infected
46025,SD,clark county,44.8583,-97.7295,12,poultry,12.1,24300,infected
46029,SD,codington county,44.9779,-97.1886,5,poultry,55.2,80,infected
46029,SD,codington county,44.9779,-97.1886,13,poultry,13,140,infected
46037,SD,day county,45.3671,-97.6074,5,poultry,54.6,80,infected
46039,SD,deuel county,44.7601,-96.668,4,poultry,36.4,1400,infected
46045,SD,edmunds county,45.4188,-99.2153,3,poultry,30,52700,infected
46045,SD,edmunds county,45.4188,-99.2153,4,poultry,37.1,67000,infected
46045,SD,edmunds county,45.4188,-99.2153,11,poultry,26.2,34400,infected
46049,SD,faulk county,45.071,-99.1453,4,poultry,38.1,48000,infected
46049,SD,faulk county,45.071,-99.1453,11,poultry,27.5,49900,infected
46053,SD,gregory county,43.1924,-99.1856,10,poultry,51.9,200,infected
46053,SD,gregory county,43.1924,-99.1856,11,poultry,33.3,3000,infected
46057,SD,hamlin county,44.6738,-97.1883,11,poultry,28.8,50000,infected
46057,SD,hamlin county,44.6738,-97.1883,12,poultry,12.5,58100,infected
46061,SD,hanson county,43.6748,-97.7873,3,poultry,33.1,114800,infected
46061,SD,hanson county,43.6748,-97.7873,11,poultry,30.7,71600,infected
46061,SD,hanson county,43.6748,-97.7873,12,poultry,14.5,55700,infected
46067,SD,hutchinson county,43.3349,-97.7544,3,poultry,34.5,135400,infected
46073,SD,jerauld county,44.0663,-98.6296,3,poultry,32.7,44000,infected
46077,SD,kingsbury county,44.3696,-97.4915,3,poultry,30.6,159500,infected
46079,SD,lake county,44.022,-97.1294,4,poultry,40.2,59000,infected
46079,SD,lake county,44.022,-97.1294,12,poultry,13.7,78000,infected
46089,SD,mcpherson county,45.7664,-99.2214,3,poultry,28.5,69900,infected
46089,SD,mcpherson county,45.7664,-99.2214,4,poultry,35.8,106900,infected
46089,SD,mcpherson county,45.7664,-99.2214,9,poultry,61.7,56900,infected
46101,SD,moody county,44.022,-96.6709,12,poultry,14,1332100,infected
46109,SD,roberts county,45.6296,-96.9461,10,poultry,48.4,3600,infected
46115,SD,spink county,44.938,-98.3462,3,poultry,31.1,45900,infected
46115,SD,spink county,44.938,-98.3462,4,poultry,39.2,68100,infected
46115,SD,spink county,44.938,-98.3462,11,poultry,28.7,88400,infected
46115,SD,spink county,44.938,-98.3462,12,poultry,12.3,280,infected
46135,SD,yankton county,43.009,-97.3948,4,poultry,45.2,76100,infected
47007,TN,bledsoe county,35.5964,-85.2051,11,poultry,49.2,20900,infected
47131,TN,obion county,36.3582,-89.1488,9,poultry,70.3,130,infected
47183,TN,weakley county,36.2983,-88.7178,12,poultry,39.9,129300,infected
47183,TN,weakley county,36.2983,-88.7178,13,poultry,45.3,267800,infected
48143,TX,erath county,32.2363,-98.218,4,poultry,69.3,1700,infected
48281,TX,lampasas county,31.1962,-98.2414,13,poultry,52.9,70,infected
49005,UT,cache county,41.7224,-111.7436,4,poultry,38.4,1501200,infected
49021,UT,iron county,37.8592,-113.2895,11,poultry,33,3000,infected
49039,UT,sanpete county,39.3739,-111.5763,7,poultry,70,51500,infected
49039,UT,sanpete county,39.3739,-111.5763,9,poultry,62,317600,infected
49039,UT,sanpete county,39.3739,-111.5763,10,poultry,46.9,332500,infected
51165,VA,rockingham county,38.512,-78.8758,13,poultry,39.7,36000,infected
53021,WA,franklin county,46.5347,-118.8989,12,poultry,24.8,1015500,infected
53033,WA,king county,47.4902,-121.8052,6,poultry,55.9,50,infected
53033,WA,king county,47.4902,-121.8052,7,poultry,64.7,220,infected
53049,WA,pacific county,46.5557,-123.7041,5,poultry,50.7,40,infected
53061,WA,snohomish county,48.0475,-121.6975,7,poultry,63.4,340,infected
53061,WA,snohomish county,48.0475,-121.6975,12,poultry,31.3,180,infected
54075,WV,pocahontas county,38.3318,-80.0078,10,poultry,45.9,0,uninfected
54075,WV,pocahontas county,38.3318,-80.0078,11,poultry,40.9,0,uninfected
54075,WV,pocahontas county,38.3318,-80.0078,12,poultry,30.6,0,uninfected
54075,WV,pocahontas county,38.3318,-80.0078,13,poultry,35.3,0,uninfected
54077,WV,preston county,39.4693,-79.6682,1,poultry,24,0,uninfected
54077,WV,preston county,39.4693,-79.6682,2,poultry,32,0,uninfected
54077,WV,preston county,39.4693,-79.6682,3,poultry,41.1,0,uninfected
54077,WV,preston county,39.4693,-79.6682,4,poultry,47.8,0,uninfected
54077,WV,preston county,39.4693,-79.6682,5,poultry,60.6,0,uninfected
54077,WV,preston county,39.4693,-79.6682,6,poultry,66.9,0,uninfected
54077,WV,preston county,39.4693,-79.6682,7,poultry,70.7,0,uninfected
54077,WV,preston county,39.4693,-79.6682,8,poultry,69.7,0,uninfected
54077,WV,preston county,39.4693,-79.6682,9,poultry,62.4,0,uninfected
54077,WV,preston county,39.4693,-79.6682,10,poultry,48.4,0,uninfected
54077,WV,preston county,39.4693,-79.6682,11,poultry,42.9,0,uninfected
54077,WV,preston county,39.4693,-79.6682,12,poultry,31.5,0,uninfected
54077,WV,preston county,39.4693,-79.6682,13,poultry,36.2,0,uninfected
54079,WV,putnam county,38.5086,-81.909,1,poultry,30.1,0,uninfected
54079,WV,putnam county,38.5086,-81.909,2,poultry,38,0,uninfected
54079,WV,putnam county,38.5086,-81.909,3,poultry,47.9,0,uninfected
54079,WV,putnam county,38.5086,-81.909,4,poultry,54.1,0,uninfected
54079,WV,putnam county,38.5086,-81.909,5,poultry,66.7,0,uninfected
54079,WV,putnam county,38.5086,-81.909,6,poultry,71.9,0,uninfected
54079,WV,putnam county,38.5086,-81.909,7,poultry,75.7,0,uninfected
54079,WV,putnam county,38.5086,-81.909,8,poultry,74.4,0,uninfected
54079,WV,putnam county,38.5086,-81.909,9,poultry,66.9,0,uninfected
54079,WV,putnam county,38.5086,-81.909,10,poultry,52.8,0,uninfected
54079,WV,putnam county,38.5086,-81.909,11,poultry,47.2,0,uninfected
54079,WV,putnam county,38.5086,-81.909,12,poultry,36.9,0,uninfected
54079,WV,putnam county,38.5086,-81.909,13,poultry,40.4,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,1,poultry,27.9,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,2,poultry,36.1,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,3,poultry,45.3,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,4,poultry,51.4,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,5,poultry,62.4,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,6,poultry,67.2,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,7,poultry,71.6,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,8,poultry,70.6,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,9,poultry,62.7,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,10,poultry,49.6,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,11,poultry,44.6,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,12,poultry,34.5,0,uninfected
54081,WV,raleigh county,37.7714,-81.2487,13,poultry,38.9,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,1,poultry,23.5,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,2,poultry,32,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,3,poultry,40.3,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,4,poultry,46.6,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,5,poultry,59.2,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,6,poultry,64.1,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,7,poultry,68.6,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,8,poultry,67.4,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,9,poultry,59.9,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,10,poultry,46.4,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,11,poultry,41.7,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,12,poultry,31.8,0,uninfected
54083,WV,randolph county,38.7747,-79.8758,13,poultry,35.8,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,1,poultry,27.2,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,2,poultry,34.8,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,3,poultry,45.4,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,4,poultry,51,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,5,poultry,64.8,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,6,poultry,70.2,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,7,poultry,74.6,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,8,poultry,73.5,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,9,poultry,66.2,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,10,poultry,51.5,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,11,poultry,45.9,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,12,poultry,35.4,0,uninfected
54085,WV,ritchie county,39.1783,-81.063,13,poultry,39.5,0,uninfected
54087,WV,roane county,38.714,-81.3483,1,poultry,28.8,0,uninfected
54087,WV,roane county,38.714,-81.3483,2,poultry,37.3,0,uninfected
54087,WV,roane county,38.714,-81.3483,3,poultry,46.5,0,uninfected
54087,WV,roane county,38.714,-81.3483,4,poultry,52.2,0,uninfected
54087,WV,roane county,38.714,-81.3483,5,poultry,65,0,uninfected
54087,WV,roane county,38.714,-81.3483,6,poultry,70.2,0,uninfected
54087,WV,roane county,38.714,-81.3483,7,poultry,74.5,0,uninfected
54087,WV,roane county,38.714,-81.3483,8,poultry,73.5,0,uninfected
54087,WV,roane county,38.714,-81.3483,9,poultry,66.2,0,uninfected
54087,WV,roane county,38.714,-81.3483,10,poultry,52.3,0,uninfected
54087,WV,roane county,38.714,-81.3483,11,poultry,46.6,0,uninfected
54087,WV,roane county,38.714,-81.3483,12,poultry,36.4,0,uninfected
54087,WV,roane county,38.714,-81.3483,13,poultry,40.3,0,uninfected
54089,WV,summers county,37.6559,-80.8586,1,poultry,28.4,0,uninfected
54089,WV,summers county,37.6559,-80.8586,2,poultry,37.4,0,uninfected
54089,WV,summers county,37.6559,-80.8586,3,poultry,46.2,0,uninfected
54089,WV,summers county,37.6559,-80.8586,4,poultry,52.3,0,uninfected
54089,WV,summers county,37.6559,-80.8586,5,poultry,63.2,0,uninfected
54089,WV,summers county,37.6559,-80.8586,6,poultry,68.3,0,uninfected
54089,WV,summers county,37.6559,-80.8586,7,poultry,73,0,uninfected
54089,WV,summers county,37.6559,-80.8586,8,poultry,71.6,0,uninfected
54089,WV,summers county,37.6559,-80.8586,9,poultry,63.6,0,uninfected
54089,WV,summers county,37.6559,-80.8586,10,poultry,50.4,0,uninfected
54089,WV,summers county,37.6559,-80.8586,11,poultry,45.2,0,uninfected
54089,WV,summers county,37.6559,-80.8586,12,poultry,34.9,0,uninfected
54089,WV,summers county,37.6559,-80.8586,13,poultry,39.6,0,uninfected
54091,WV,taylor county,39.336,-80.0462,1,poultry,26.7,0,uninfected
54091,WV,taylor county,39.336,-80.0462,2,poultry,35,0,uninfected
54091,WV,taylor county,39.336,-80.0462,3,poultry,43.8,0,uninfected
54091,WV,taylor county,39.336,-80.0462,4,poultry,49.9,0,uninfected
54091,WV,taylor county,39.336,-80.0462,5,poultry,63.3,0,uninfected
54091,WV,taylor county,39.336,-80.0462,6,poultry,70,0,uninfected
54091,WV,taylor county,39.336,-80.0462,7,poultry,73.4,0,uninfected
54091,WV,taylor county,39.336,-80.0462,8,poultry,72.4,0,uninfected
54091,WV,taylor county,39.336,-80.0462,9,poultry,64.7,0,uninfected
54091,WV,taylor county,39.336,-80.0462,10,poultry,51.1,0,uninfected
54091,WV,taylor county,39.336,-80.0462,11,poultry,45.5,0,uninfected
54091,WV,taylor county,39.336,-80.0462,12,poultry,35,0,uninfected
54091,WV,taylor county,39.336,-80.0462,13,poultry,39.2,0,uninfected
54093,WV,tucker county,39.1136,-79.565,1,poultry,23.2,0,uninfected
54093,WV,tucker county,39.1136,-79.565,2,poultry,30.6,0,uninfected
54093,WV,tucker county,39.1136,-79.565,3,poultry,39.3,0,uninfected
54093,WV,tucker county,39.1136,-79.565,4,poultry,46.4,0,uninfected
54093,WV,tucker county,39.1136,-79.565,5,poultry,58.8,0,uninfected
54093,WV,tucker county,39.1136,-79.565,6,poultry,64.6,0,uninfected
54093,WV,tucker county,39.1136,-79.565,7,poultry,68.8,0,uninfected
54093,WV,tucker county,39.1136,-79.565,8,poultry,67.7,0,uninfected
54093,WV,tucker county,39.1136,-79.565,9,poultry,60.3,0,uninfected
54093,WV,tucker county,39.1136,-79.565,10,poultry,46.1,0,uninfected
54093,WV,tucker county,39.1136,-79.565,11,poultry,41,0,uninfected
54093,WV,tucker county,39.1136,-79.565,12,poultry,30.2,0,uninfected
54093,WV,tucker county,39.1136,-79.565,13,poultry,35.1,0,uninfected
